Time(s),Injected cars,Exiting cars,Current cars in system, Exiting people, Avg. v [km/h], Min. v [km/h], Goal: Node 5, Node 5 flow
0,50,0,50,0, 30.7141,30.7141,0,0
1,0,0,50,0, 30.7141,30.7141,0,0
2,0,0,50,0, 30.7141,30.7141,0,0
3,0,0,50,0, 30.7141,30.7141,0,0
4,0,0,50,0, 30.7141,30.7141,0,0
5,0,0,50,0, 30.7141,30.7141,0,0
6,0,0,50,0, 30.7141,30.7141,0,0
7,0,0,50,0, 30.7141,30.7141,0,0
8,0,0,50,0, 30.7141,30.7141,0,0
9,0,0,50,0, 30.7141,30.7141,0,0
10,0,0,50,0, 30.7141,30.7141,0,0
11,0,0,50,0, 30.7141,30.7141,0,0
12,0,0,50,0, 30.7141,30.7141,0,0
13,0,0,50,0, 30.7141,30.7141,0,0
14,0,0,50,0, 30.7141,30.7141,0,0
15,0,0,50,0, 30.7141,30.7141,0,0
16,0,0,50,0, 30.7141,30.7141,0,0
17,0,0,50,0, 30.7141,30.7141,0,0
18,0,0,50,0, 30.7141,30.7141,0,0
19,0,0,50,0, 30.7141,30.7141,0,0
20,0,0,50,0, 30.7141,30.7141,0,0
21,0,0,50,0, 30.7141,30.7141,0,0
22,0,0,50,0, 30.7141,30.7141,0,0
23,0,0,50,0, 30.7141,30.7141,0,0
24,0,0,50,0, 30.7141,30.7141,0,0
25,0,0,50,0, 30.7141,30.7141,0,0
26,0,0,50,0, 30.7141,30.7141,0,0
27,0,0,50,0, 30.7141,30.7141,0,0
28,0,0,50,0, 30.7141,30.7141,0,0
29,0,0,50,0, 30.7141,30.7141,0,0
30,0,0,50,0, 30.7141,30.7141,0,0
31,0,0,50,0, 30.7141,30.7141,0,0
32,0,0,50,0, 30.7141,30.7141,0,0
33,0,0,50,0, 30.7141,30.7141,0,0
34,0,0,50,0, 30.7141,30.7141,0,0
35,0,0,50,0, 30.7141,30.7141,0,0
36,0,0,50,0, 30.7141,30.7141,0,0
37,0,0,50,0, 30.7141,30.7141,0,0
38,0,0,50,0, 30.7141,30.7141,0,0
39,0,0,50,0, 30.7141,30.7141,0,0
40,0,0,50,0, 30.7141,30.7141,0,0
41,0,0,50,0, 30.7141,30.7141,0,0
42,0,0,50,0, 30.7141,30.7141,0,0
43,0,0,50,0, 30.7141,30.7141,0,0
44,0,0,50,0, 30.7141,30.7141,0,0
45,0,0,50,0, 30.7141,30.7141,0,0
46,0,0,50,0, 30.7141,30.7141,0,0
47,0,0,50,0, 30.7141,30.7141,0,0
48,0,0,50,0, 30.7141,30.7141,0,0
49,0,0,50,0, 30.7141,30.7141,0,0
50,0,0,50,0, 30.7141,30.7141,0,0
51,0,0,50,0, 30.7141,30.7141,0,0
52,0,0,50,0, 30.7141,30.7141,0,0
53,0,0,50,0, 30.7141,30.7141,0,0
54,0,0,50,0, 30.7141,30.7141,0,0
55,0,0,50,0, 30.7141,30.7141,0,0
56,0,0,50,0, 30.7141,30.7141,0,0
57,0,0,50,0, 30.7141,30.7141,0,0
58,0,0,50,0, 30.7141,30.7141,0,0
59,0,0,50,0, 30.7141,30.7141,0,0
60,0,0,50,0, 30.7141,30.7141,0,0
61,0,0,50,0, 30.7141,30.7141,0,0
62,0,0,50,0, 30.7141,30.7141,0,0
63,0,0,50,0, 30.7141,30.7141,0,0
64,0,0,50,0, 30.7141,30.7141,0,0
65,0,0,50,0, 30.7141,30.7141,0,0
66,0,0,50,0, 30.7141,30.7141,0,0
67,0,0,50,0, 30.7141,30.7141,0,0
68,0,0,50,0, 30.7141,30.7141,0,0
69,0,0,50,0, 30.7141,30.7141,0,0
70,0,0,50,0, 30.7141,30.7141,0,0
71,0,0,50,0, 30.7141,30.7141,0,0
72,0,0,50,0, 30.7141,30.7141,0,0
73,0,0,50,0, 30.7141,30.7141,0,0
74,0,0,50,0, 30.7141,30.7141,0,0
75,0,0,50,0, 30.7141,30.7141,0,0
76,0,0,50,0, 30.7141,30.7141,0,0
77,0,0,50,0, 30.7141,30.7141,0,0
78,0,0,50,0, 30.7141,30.7141,0,0
79,0,0,50,0, 30.7141,30.7141,0,0
80,0,0,50,0, 30.7141,30.7141,0,0
81,0,0,50,0, 30.7141,30.7141,0,0
82,0,0,50,0, 30.7141,30.7141,0,0
83,0,0,50,0, 30.7141,30.7141,0,0
84,0,0,50,0, 30.7141,30.7141,0,0
85,0,0,50,0, 30.7141,30.7141,0,0
86,0,0,50,0, 30.7141,30.7141,0,0
87,0,0,50,0, 30.7141,30.7141,0,0
88,0,0,50,0, 30.7141,30.7141,0,0
89,0,0,50,0, 30.7141,30.7141,0,0
90,0,0,50,0, 30.7141,30.7141,0,0
91,0,0,50,0, 30.7141,30.7141,0,0
92,0,0,50,0, 30.7141,30.7141,0,0
93,0,0,50,0, 30.7141,30.7141,0,0
94,0,0,50,0, 30.7141,30.7141,0,0
95,0,0,50,0, 30.7141,30.7141,0,0
96,0,0,50,0, 30.7141,30.7141,0,0
97,0,0,50,0, 30.7141,30.7141,0,0
98,0,0,50,0, 30.7141,30.7141,0,0
99,0,0,50,0, 30.7141,30.7141,0,0
100,0,0,50,0, 30.7141,30.7141,0,0
101,0,0,50,0, 30.7141,30.7141,0,0
102,0,0,50,0, 30.7141,30.7141,0,0
103,0,0,50,0, 30.7141,30.7141,0,0
104,0,0,50,0, 30.7141,30.7141,0,0
105,0,0,50,0, 30.7141,30.7141,0,0
106,0,0,50,0, 30.7141,30.7141,0,0
107,0,0,50,0, 30.7141,30.7141,0,0
108,0,0,50,0, 30.7141,30.7141,0,0
109,0,0,50,0, 30.7141,30.7141,0,0
110,0,0,50,0, 30.7141,30.7141,0,0
111,0,0,50,0, 30.7141,30.7141,0,0
112,0,0,50,0, 30.7141,30.7141,0,0
113,0,0,50,0, 30.7141,30.7141,0,0
114,0,0,50,0, 30.7141,30.7141,0,0
115,0,0,50,0, 30.7141,30.7141,0,0
116,0,0,50,0, 30.7141,30.7141,0,0
117,0,1,50,1, 30.7141,30.7141,1,1
118,0,0,49,0, 31.89982,31.89982,1,1
119,0,1,49,1, 31.89982,31.89982,2,1
120,0,1,48,1, 33.08553,33.08553,3,1
121,0,1,47,1, 34.27125,34.27125,4,1
122,0,1,46,1, 35.45697,35.45697,5,1
123,0,1,45,1, 36.64268,36.64268,6,1
124,0,1,44,1, 37.8284,37.8284,7,1
125,0,1,43,1, 39.01412,39.01412,8,1
126,0,1,42,1, 40.19984,40.19984,9,1
127,0,1,41,1, 41.38556,41.38556,10,1
128,0,1,40,1, 42.57127,42.57127,11,1
129,0,1,39,1, 43.757,43.757,12,1
130,0,1,38,1, 44.94271,44.94271,13,1
131,0,1,37,1, 46.12843,46.12843,14,1
132,0,1,36,1, 47.31415,47.31415,15,1
133,0,1,35,1, 48.49987,48.49987,16,1
134,0,1,34,1, 49.68559,49.68559,17,1
135,0,1,33,1, 50.8713,50.8713,18,1
136,0,1,32,1, 52.05702,52.05702,19,1
137,0,1,31,1, 53.24274,53.24274,20,1
138,0,1,30,1, 54.42846,54.42846,21,1
139,0,1,29,1, 55.61417,55.61417,22,1
140,0,1,28,1, 56.79989,56.79989,23,1
141,0,1,27,1, 57.98561,57.98561,24,1
142,0,1,26,1, 59.17133,59.17133,25,1
143,0,1,25,1, 60.35705,60.35705,26,1
144,0,1,24,1, 61.54277,61.54277,27,1
145,0,1,23,1, 62.72849,62.72849,28,1
146,0,1,22,1, 63.9142,63.9142,29,1
147,0,1,21,1, 65.09991,65.09991,30,1
148,0,1,20,1, 66.28564,66.28564,31,1
149,0,1,19,1, 67.47136,67.47136,32,1
150,0,1,18,1, 68.65707,68.65707,33,1
151,0,1,17,1, 69.84279,69.84279,34,1
152,0,1,16,1, 71.02851,71.02851,35,1
153,0,1,15,1, 72.21423,72.21423,36,1
154,0,1,14,1, 73.39995,73.39995,37,1
155,0,1,13,1, 74.58566,74.58566,38,1
156,0,1,12,1, 75.77138,75.77138,39,1
157,0,1,11,1, 76.9571,76.9571,40,1
158,0,1,10,1, 78.14281,78.14281,41,1
159,0,1,9,1, 79.32854,79.32854,42,1
160,0,1,8,1, 80.51425,80.51425,43,1
161,0,1,7,1, 81.69997,81.69997,44,1
162,0,1,6,1, 82.88569,82.88569,45,1
163,0,1,5,1, 84.0714,84.0714,46,1
164,0,1,4,1, 85.25713,85.25713,47,1
165,0,1,3,1, 86.44284,86.44284,48,1
166,0,1,2,1, 87.62856,87.62856,49,1
167,0,1,1,1, 88.81428,88.81428,50,0.98
