Time [s],ArrivalIndex [-]
0.0, 0
643,1
678,2
786,3
859,4
862,5
864,6
896,7
896,8
927,9
932,10
967,11
971,12
1001,13
1004,14
1006,15
1007,16
1009,17
1010,18
1011,19
1011,20
1012,21
1012,22
1014,23
1048,24
1117,25
1120,26
1122,27
1125,28
1127,29
1128,30
1128,31
1129,32
1130,33
1130,34
1132,35
1132,36
1133,37
1133,38
1134,39
1135,40
1135,41
1135,42
1136,43
1137,44
1138,45
1139,46
1140,47
1176,48
1177,49
1178,50
1180,51
1182,52
1182,53
1183,54
1213,55
1214,56
1215,57
1217,58
1218,59
1221,60
1221,61
1222,62
1222,63
1224,64
1224,65
1226,66
1227,67
1228,68
1230,69
1230,70
1231,71
1232,72
1233,73
1236,74
1239,75
1240,76
1241,77
1242,78
1242,79
1243,80
1243,81
1244,82
1274,83
1278,84
1278,85
1279,86
1280,87
1281,88
1281,89
1283,90
1314,91
1316,92
1317,93
1318,94
1319,95
1319,96
1321,97
1323,98
1323,99
1324,100
1325,101
1326,102
1326,103
1327,104
1328,105
1329,106
1330,107
1330,108
1331,109
1336,110
1348,111
1363,112
1365,113
1367,114
1369,115
1370,116
1372,117
1374,118
1399,119
1400,120
1402,121
1402,122
1403,123
1404,124
1405,125
1406,126
1410,127
1411,128
1412,129
1414,130
1415,131
1416,132
1417,133
1418,134
1419,135
1420,136
1421,137
1423,138
1424,139
1424,140
1426,141
1427,142
1429,143
1464,144
1465,145
1465,146
1467,147
1468,148
1469,149
1469,150
1470,151
1472,152
1472,153
1473,154
1473,155
1475,156
1475,157
1476,158
1478,159
1478,160
1479,161
1480,162
1481,163
1514,164
1515,165
1519,166
1519,167
1520,168
1522,169
1522,170
1522,171
1523,172
1523,173
1523,174
1525,175
1525,176
1527,177
1528,178
1560,179
1561,180
1562,181
1562,182
1564,183
1567,184
1568,185
1569,186
1570,187
1571,188
1573,189
1573,190
1575,191
1575,192
1576,193
1577,194
1578,195
1611,196
1611,197
1613,198
1614,199
1614,200
1615,201
1616,202
1617,203
1617,204
1619,205
1619,206
1622,207
1634,208
1634,209
1636,210
1655,211
1657,212
1657,213
1659,214
1660,215
1660,216
1661,217
1662,218
1662,219
1663,220
1665,221
1667,222
1668,223
1669,224
1670,225
1735,226
1735,227
1736,228
1738,229
1740,230
1741,231
1745,232
1746,233
1747,234
1747,235
1747,236
1749,237
1750,238
1751,239
1752,240
1753,241
1754,242
1754,243
1756,244
1756,245
1757,246
1758,247
1759,248
1759,249
1760,250
1761,251
1764,252
1765,253
1796,254
1797,255
1798,256
1799,257
1799,258
1801,259
1801,260
1803,261
1804,262
1805,263
1806,264
1808,265
1843,266
1844,267
1845,268
1846,269
1846,270
1847,271
1849,272
1850,273
1852,274
1852,275
1853,276
1853,277
1855,278
1855,279
1856,280
1857,281
1858,282
1859,283
1860,284
1860,285
1889,286
1891,287
1892,288
1893,289
1893,290
1895,291
1908,292
1912,293
1929,294
1930,295
1931,296
1933,297
1937,298
1939,299
1973,300
2035,301
2035,302
2040,303
2042,304
2043,305
2044,306
2046,307
2051,308
2079,309
2079,310
2080,311
2082,312
2083,313
2085,314
2085,315
2087,316
2087,317
2089,318
2089,319
2089,320
2090,321
2090,322
2092,323
2092,324
2094,325
2094,326
2095,327
2097,328
2098,329
2099,330
2101,331
2102,332
2103,333
2104,334
2105,335
2105,336
2105,337
2107,338
2107,339
2108,340
2108,341
2110,342
2142,343
2143,344
2144,345
2145,346
2146,347
2146,348
2147,349
2148,350
2149,351
2151,352
2152,353
2153,354
2155,355
2155,356
2156,357
2157,358
2158,359
2190,360
2192,361
2194,362
2195,363
2196,364
2198,365
2198,366
2199,367
2199,368
2201,369
2201,370
2202,371
2203,372
2204,373
2206,374
2238,375
2240,376
2241,377
2242,378
2244,379
2245,380
2246,381
2247,382
2248,383
2248,384
2249,385
2250,386
2251,387
2252,388
2253,389
2284,390
2285,391
2287,392
2289,393
2292,394
2293,395
2294,396
2295,397
2295,398
2296,399
2297,400
2298,401
2299,402
2301,403
2303,404
2303,405
2303,406
2304,407
2306,408
2307,409
2307,410
2309,411
2342,412
2343,413
2343,414
2347,415
2378,416
2380,417
2381,418
2382,419
2384,420
2416,421
2416,422
2417,423
2419,424
2420,425
2423,426
2425,427
2426,428
2427,429
2428,430
2429,431
2430,432
2430,433
2431,434
2431,435
2433,436
2433,437
2434,438
2435,439
2436,440
2437,441
2438,442
2438,443
2443,444
2446,445
2447,446
2475,447
2475,448
2477,449
2478,450
2478,451
2479,452
2480,453
2481,454
2482,455
2484,456
2486,457
2487,458
2488,459
2488,460
2504,461
2521,462
2524,463
2524,464
2526,465
2527,466
2528,467
2529,468
2529,469
2530,470
2530,471
2531,472
2533,473
2533,474
2534,475
2534,476
2536,477
2536,478
2537,479
2538,480
2539,481
2541,482
2544,483
2544,484
2546,485
2546,486
2547,487
2547,488
2550,489
2584,490
2586,491
2588,492
2590,493
2590,494
2592,495
2593,496
2594,497
2596,498
2597,499
2598,500
2599,501
2599,502
2600,503
2605,504
2632,505
2634,506
2638,507
2638,508
2639,509
2639,510
2669,511
2671,512
2672,513
2674,514
2675,515
2676,516
2678,517
2681,518
2682,519
2683,520
2683,521
2685,522
2686,523
2688,524
2689,525
2691,526
2692,527
2692,528
2694,529
2695,530
2696,531
2697,532
2698,533
2700,534
2731,535
2733,536
2734,537
2736,538
2736,539
2737,540
2738,541
2739,542
2741,543
2741,544
2743,545
2743,546
2744,547
2747,548
2751,549
2783,550
2783,551
2785,552
2788,553
2788,554
2790,555
2790,556
2791,557
2791,558
2793,559
2793,560
2794,561
2795,562
2797,563
2797,564
2798,565
2798,566
2832,567
2833,568
2834,569
2835,570
2835,571
2837,572
2837,573
2838,574
2839,575
2840,576
2840,577
2841,578
2842,579
2844,580
2845,581
2847,582
2847,583
2848,584
2883,585
2884,586
2885,587
2886,588
2888,589
2888,590
2889,591
2890,592
2891,593
2892,594
2894,595
2925,596
2926,597
2927,598
2928,599
2928,600
2929,601
2932,602
2934,603
2936,604
2936,605
2937,606
2939,607
2940,608
2942,609
2943,610
2944,611
2946,612
2975,613
2980,614
2982,615
2983,616
2983,617
3012,618
3014,619
3016,620
3021,621
3022,622
3023,623
3024,624
3025,625
3025,626
3026,627
3026,628
3027,629
3027,630
3028,631
3030,632
3032,633
3033,634
3034,635
3034,636
3034,637
3035,638
3036,639
3037,640
3037,641
3071,642
3074,643
3074,644
3078,645
3083,646
3106,647
3108,648
3109,649
3110,650
3113,651
3113,652
3115,653
3116,654
3117,655
3117,656
3118,657
3118,658
3120,659
3120,660
3122,661
3123,662
3123,663
3126,664
3128,665
3128,666
3129,667
3129,668
3130,669
3132,670
3136,671
3142,672
3143,673
3143,674
3143,675
3206,676
3210,677
3210,678
3211,679
3213,680
3213,681
3214,682
3216,683
3222,684
3224,685
3225,686
3225,687
3226,688
3227,689
3228,690
3229,691
3229,692
3231,693
3231,694
3232,695
3233,696
3233,697
3234,698
3266,699
3266,700
3267,701
3269,702
3269,703
3269,704
3271,705
3273,706
3274,707
3275,708
3275,709
3276,710
3277,711
3278,712
3279,713
3280,714
3282,715
3284,716
3284,717
3286,718
3288,719
3288,720
3289,721
3291,722
3292,723
3295,724
3296,725
3331,726
3331,727
3333,728
3334,729
3334,730
3364,731
3366,732
3400,733
3401,734
3402,735
3404,736
3405,737
3406,738
3406,739
3409,740
3411,741
3413,742
3414,743
3415,744
3416,745
3416,746
3417,747
3418,748
3419,749
3420,750
3422,751
3423,752
3491,753
3492,754
3493,755
3493,756
3495,757
3496,758
3498,759
3499,760
3500,761
3501,762
3502,763
3502,764
3503,765
3504,766
3505,767
3505,768
3506,769
3506,770
3508,771
3509,772
3509,773
3509,774
3511,775
3511,776
3513,777
3513,778
3514,779
3515,780
3516,781
3549,782
3551,783
3552,784
3553,785
3555,786
3555,787
3556,788
3556,789
3557,790
3559,791
3560,792
3562,793
3563,794
3564,795
3565,796
3565,797
3567,798
3567,799
3568,800
3568,801
3569,802
3570,803
3571,804
3572,805
3573,806
3574,807
3608,808
3610,809
3640,810
3641,811
3644,812
3646,813
3649,814
3649,815
3651,816
3652,817
3653,818
3658,819
3680,820
3683,821
3692,822
3725,823
3727,824
3727,825
3729,826
3730,827
3730,828
3732,829
3734,830
3735,831
3735,832
3736,833
3737,834
3737,835
3738,836
3739,837
3740,838
3740,839
3742,840
3743,841
3744,842
3744,843
3745,844
3810,845
3811,846
3813,847
3815,848
3815,849
3817,850
3817,851
3818,852
3819,853
3821,854
3824,855
3825,856
3827,857
3827,858
3828,859
3830,860
3831,861
3832,862
3833,863
3834,864
3835,865
3835,866
3864,867
3866,868
3866,869
3869,870
3873,871
3876,872
3876,873
3900,874
3901,875
3905,876
3910,877
3914,878
3937,879
4010,880
4011,881
4046,882
4048,883
4082,884
4120,885
4155,886
4229,887
4259,888
4266,889
4302,890
4310,891
4408,892
4410,893
4443,894
4444,895
4552,896
4552,897
4593,898
4644,899
4663,900
4693,901
4769,902
4812,903
4842,904
4850,905
4877,906
4878,907
4882,908
4888,909
4914,910
4915,911
4919,912
4947,913
4957,914
4986,915
4991,916
5054,917
5063,918
5063,919
5065,920
5101,921
5102,922
5104,923
5136,924
5144,925
5176,926
5210,927
5210,928
5220,929
5224,930
5328,931
5329,932
5362,933
5363,934
5366,935
5402,936
5434,937
5438,938
5471,939
5473,940
5579,941
5584,942
5591,943
5617,944
5621,945
5625,946
5627,947
5629,948
5654,949
5727,950
5728,951
5729,952
5733,953
5837,954
5839,955
5876,956
5906,957
5908,958
5909,959
5943,960
5951,961
6017,962
6060,963
6124,964
6127,965
6130,966
6159,967
6194,968
6197,969
6342,970
6343,971
6350,972
6377,973
6378,974
6382,975
6386,976
6486,977
6489,978
6525,979
6561,980
6630,981
6632,982
6636,983
6669,984
6669,985
6701,986
6703,987
6745,988
6777,989
6778,990
6779,991
6784,992
6848,993
6887,994
6956,995
6958,996
7035,997
7177,998
7185,999
7364,1000
